score,tokens,neg_scores,neu_scores,pos_scores,compound_scores,NOUN,PRON,VERB,ADJ,ADV
0.0,one hardest thing schedul one chat end day usual,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.0,work,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0
0.0,tire im cri reason im tri get hour half tonight half got last night,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,total like four girl option none seem viabl,0.0,0.715,0.285,0.4201,1.0,0.0,0.0,1.0,1.0
0.0,hahaha dont like one time ny got 30 min sleep got sick love,0.244,0.405,0.351,0.5252,1.0,0.0,1.0,1.0,0.0
0.0,dang wont abl get workshop run web direct,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
0.0,ugh cours thursday fridaysat kid,0.412,0.588,0.0,-0.4215,2.0,0.0,2.0,1.0,1.0
0.0,need new glassesmin hangnon 1 arm,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.0,keep lookingi know read gonna hurt still look guess girl thing,0.254,0.746,0.0,-0.5267,2.0,1.0,2.0,1.0,1.0
0.0,tire morn idea great start day,0.0,0.549,0.451,0.6249,2.0,1.0,2.0,1.0,0.0
0.0,congest nose,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.0,por favor decim ke esta involucrado en esa pagina nicatrol theyr cancer that kill b,0.382,0.504,0.113,-0.8126,1.0,0.0,0.0,1.0,0.0
0.0,need stop sleep day caus problem your wide awak 245am,0.38,0.62,0.0,-0.5994,1.0,0.0,1.0,1.0,1.0
0.0,iam bore noth,0.5,0.5,0.0,-0.25,1.0,0.0,1.0,1.0,0.0
0.0,wrote album iron singl write,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0.0,someon pleas take gossip girl away im addict,0.195,0.805,0.0,-0.1779,1.0,0.0,1.0,1.0,0.0
0.0,heard timewarp fantast gut miss play egg,0.178,0.556,0.267,0.2023,1.0,0.0,0.0,0.0,0.0
0.0,haha nope guess noth origin day,0.0,0.625,0.375,0.4588,1.0,0.0,2.0,1.0,0.0
0.0,arent connect backso cant dm,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,wish someon talk im upset one like anyway,0.203,0.391,0.406,0.3818,1.0,0.0,0.0,1.0,0.0
0.0,oohhungri anyth creep kitchen legsandor armsattack fridg ah cold chicken excit,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0
0.0,blahhh throat sore keep cough hate sick,0.704,0.296,0.0,-0.8591,2.0,0.0,1.0,1.0,0.0
0.0,havent heard,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
0.0,crazi pollen tree washington state make sinus go crazi,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,oh sent email state conventionmay 1718 papyru sad bc want attend,0.231,0.672,0.097,-0.4215,1.0,0.0,2.0,1.0,0.0
0.0,saw ice rain today quit snow frozen water nonetheless,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.0,tri fit stuff tini bag take hand luggag dont think gonna work,0.0,0.637,0.363,0.6908,2.0,0.0,1.0,1.0,1.0
0.0,sorri hear dog,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.0,rufu rufu rufu bloodi brillaint shame mum miser crab could liten work,0.371,0.629,0.0,-0.7096,1.0,0.0,0.0,0.0,0.0
0.0,danm want hear studi suck,0.403,0.417,0.181,-0.3818,1.0,0.0,1.0,1.0,0.0
0.0,look seem get complet differ config find share host hard control,0.111,0.714,0.175,0.2023,1.0,0.0,0.0,2.0,0.0
0.0,watch tv tri sleep work,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.0,long yesterday,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
0.0,didnt hear hunn today,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,haha hous creepi night creak stuffscari lolim gonna go bed,0.0,0.75,0.25,0.4588,1.0,1.0,1.0,1.0,0.0
0.0,problem arent appeal wide enough audienc even though think may,0.231,0.769,0.0,-0.4019,1.0,0.0,1.0,1.0,0.0
0.0,youll get familiar twitter pretti soon im come back summer mean dont even see,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.0,shell ga station lunch break tire,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0.0,nooooo good im allow cri ughhh stay late make think stuff,0.0,0.652,0.348,0.5859,2.0,0.0,1.0,1.0,0.0
0.0,forehead start feel like someon cut slice oh that right someon cut slice forehead today,0.225,0.642,0.134,-0.1779,1.0,1.0,2.0,1.0,1.0
0.0,choic limit sinc block hulu,0.42,0.58,0.0,-0.4404,1.0,0.0,1.0,1.0,0.0
0.0,uninstal 232 tri fresh 222 app still dice obvious someth bizarr setup,0.0,0.827,0.173,0.3182,1.0,0.0,1.0,0.0,0.0
0.0,today got2do shop 4easter 3 malachi xx owww im sore 2day,0.2,0.8,0.0,-0.3612,1.0,0.0,0.0,1.0,0.0
0.0,lol im sorri love ya stupid date coach make feel selfconsci hair,0.175,0.464,0.361,0.5574,1.0,0.0,1.0,1.0,1.0
0.0,isliy call nahi kiya baad methink ki ab tu movi dekh raha hoga,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.0,where updat miss someth,0.348,0.652,0.0,-0.1531,1.0,0.0,2.0,1.0,1.0
0.0,miss youuu,0.615,0.385,0.0,-0.1531,1.0,0.0,1.0,0.0,0.0
0.0,naar haddow racket mee wahey,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,depress new app alpha 0010 even complex last app version 95 long small dev team day,0.176,0.824,0.0,-0.4939,1.0,0.0,1.0,1.0,0.0
0.0,current watch roommat miss nyc,0.286,0.714,0.0,-0.1531,2.0,1.0,2.0,2.0,1.0
0.0,control life possibl uni graduat start master boohoo,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,ye got rip shop wow,0.0,0.513,0.487,0.5859,2.0,0.0,1.0,0.0,1.0
0.0,im sorri ive ruin everyth us forgiv,0.388,0.612,0.0,-0.5859,1.0,0.0,0.0,1.0,0.0
0.0,annoy place 4pm half hawker close want otah,0.284,0.588,0.127,-0.3818,1.0,0.0,2.0,1.0,0.0
0.0,darn forgot tonight shoot postpon loos end,0.286,0.714,0.0,-0.34,1.0,0.0,1.0,0.0,1.0
0.0,oh suck mike work saturday monday andrew got friday till wednesday bugger lol,0.174,0.659,0.168,-0.0258,1.0,0.0,2.0,1.0,1.0
0.0,habbit misspel bought,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
0.0,carter co kentucki estblshd thier first public librari need director thier entir budget 000year,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,lucki devil im dream crispi bacon sandwich one yet volunt go get one,0.253,0.632,0.115,-0.5267,1.0,0.0,1.0,1.0,1.0
0.0,aw ball new shirt got aeri today doesnt fit wear medium small one,0.15,0.85,0.0,-0.2755,1.0,0.0,0.0,0.0,0.0
0.0,got 7 mistakenli shouldv 6,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0
0.0,jam postpon boohoohoozx damn flu bug,0.57,0.43,0.0,-0.6486,1.0,0.0,2.0,1.0,1.0
0.0,hope goe well,0.0,0.167,0.833,0.6124,1.0,0.0,1.0,1.0,0.0
0.0,gnah inner tube explod gotta get taxi work late,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0
0.0,vw forum nightmar enthusiast forum alway result polit bitch,0.286,0.526,0.188,-0.3182,1.0,0.0,1.0,1.0,0.0
0.0,casual unprotect tweet twat ill probabl never see mom dissapoint,0.45,0.438,0.113,-0.7506,1.0,0.0,1.0,1.0,0.0
0.0,person web site hack,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.0,ye next project wool hide meit friday went craig place,0.159,0.841,0.0,-0.1779,1.0,0.0,2.0,1.0,0.0
0.0,sorri saw post sign even finish read lolthes guy gold feel bad paid 600,0.212,0.788,0.0,-0.5423,1.0,0.0,1.0,1.0,0.0
0.0,babysit morn stiil excus watch chute cbbc,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0
0.0,still wont let log know user thier co anth sent friend request,0.0,0.775,0.225,0.4939,1.0,0.0,0.0,1.0,0.0
0.0,laptop die yesterday reinstal perfect time tri window 7 beta,0.25,0.513,0.237,-0.0516,1.0,1.0,1.0,1.0,0.0
0.0,wish couldbut season dont chang 365 day year,0.0,0.722,0.278,0.4019,1.0,0.0,1.0,1.0,0.0
0.0,whitout friend,0.0,0.238,0.762,0.4939,1.0,0.0,2.0,0.0,0.0
0.0,make short video window movi maker crash 20th time middl name persever p finish video soon,0.153,0.847,0.0,-0.4019,1.0,0.0,2.0,1.0,0.0
0.0,pleas need someon go,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,sniffl first time year 5am todaycrappi isnt,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
0.0,drink milkb youtubelon emiliie,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0
0.0,well far station look head im actual jealou would love belgium right,0.0,0.613,0.387,0.743,1.0,0.0,1.0,0.0,0.0
0.0,last day home today catch train 10am tomorrow nice break need breakfast shower shave,0.0,0.823,0.177,0.4215,1.0,0.0,2.0,0.0,1.0
0.0,feel like neglect twilight im sorri lol,0.244,0.325,0.431,0.3182,1.0,0.0,1.0,1.0,1.0
0.0,im tire tire thing today,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,know tai mean shit indonesian,0.474,0.526,0.0,-0.5574,1.0,0.0,0.0,0.0,0.0
0.0,today appar cuddl day one cuddl,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
0.0,great articl quit sad saddest pinnacl evolut,0.467,0.263,0.27,-0.4588,1.0,0.0,0.0,1.0,1.0
0.0,im still wait ride,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.0,theyr horribl theyr get,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.0,cat prob amaz effect vet bill watch chang charact remain catpuss,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
0.0,im hard time digest disappoint,0.577,0.423,0.0,-0.4767,1.0,0.0,1.0,1.0,0.0
0.0,ugh cant sleep im feel great,0.257,0.367,0.376,0.3182,1.0,0.0,0.0,0.0,0.0
0.0,dammit get know corner well,0.0,0.656,0.344,0.2732,2.0,0.0,0.0,1.0,1.0
0.0,mom brain fri juici that say she front teh compi much brain fri,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,earlyish studi get taken lunch come back lunch studi,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.0,im keep distanc well well away comment good male speci,0.0,0.496,0.504,0.7269,1.0,0.0,1.0,1.0,0.0
0.0,morn gone,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
0.0,would realli love go holidaybut gonna happen,0.0,0.588,0.412,0.6369,2.0,0.0,1.0,1.0,0.0
0.0,wish get free noooo mr rudd want play mean,0.0,0.34,0.66,0.8271,1.0,0.0,2.0,1.0,0.0
0.0,oh free car park alway use pay display chang,0.12,0.598,0.282,0.4404,2.0,0.0,1.0,0.0,0.0
0.0,hang wash,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,snow,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0
0.0,bit tire 247 cribfest surround,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0
0.0,diss tast music,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,lost caus girl,0.535,0.465,0.0,-0.3182,1.0,0.0,1.0,1.0,1.0
0.0,thought prayer go peopl affect earthquak itali,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,feel sorri women lost husband disgust thug hear stori made cri,0.408,0.592,0.0,-0.7351,1.0,0.0,0.0,0.0,0.0
0.0,follow twitter account report earthquak situat abruzzo itali good180 dead photo,0.301,0.699,0.0,-0.6486,1.0,0.0,1.0,1.0,0.0
0.0,still offic,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.0,im gonna wand death make want roll mage rofl also vxcldfi02xq,0.231,0.473,0.296,0.0258,1.0,0.0,2.0,2.0,0.0
0.0,soo tire gotta homework sadfac,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0.0,time go doesnt look nice though xx,0.28,0.72,0.0,-0.3252,1.0,0.0,1.0,1.0,1.0
0.0,ive lost new car smell,0.365,0.635,0.0,-0.3182,1.0,0.0,1.0,1.0,0.0
0.0,anoth day day gone day come,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,mum r u belov children r hungri starv home,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,grandad doesnt know mam cant stop cri cant occupi mind poor gran goodby,0.0,0.712,0.288,0.5334,1.0,0.0,0.0,0.0,0.0
0.0,sound ace want go back uni,0.0,0.794,0.206,0.0772,1.0,0.0,0.0,1.0,0.0
0.0,defin snow outsid,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,woke im freez everyth hurt good,0.33,0.388,0.282,-0.128,1.0,0.0,0.0,1.0,1.0
0.0,tough isnt im virtual pick peopl shake get everi penni v stress,0.4,0.6,0.0,-0.6124,2.0,0.0,1.0,1.0,0.0
0.0,go work without ninja luke sad,0.0,0.662,0.338,0.3724,1.0,0.0,1.0,1.0,0.0
0.0,goign 2 scholl baghhh im tire woke earli fell asleep sick,0.248,0.752,0.0,-0.5106,1.0,1.0,1.0,0.0,0.0
0.0,wasnt actual read send us email win prize claus,0.0,0.496,0.504,0.7964,1.0,0.0,0.0,0.0,0.0
0.0,432 view taker phplistingid23241867,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.0,havent heard today,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
0.0,home todaynot well,0.0,0.488,0.512,0.2732,2.0,0.0,3.0,0.0,1.0
0.0,well twiter dont work o2 vodaphon,0.0,0.704,0.296,0.2732,1.0,0.0,2.0,1.0,0.0
0.0,dont like day,0.513,0.487,0.0,-0.2755,1.0,0.0,2.0,1.0,1.0
0.0,cant believ she go gone less 24 hour im go miss much,0.127,0.873,0.0,-0.1531,2.0,0.0,3.0,1.0,1.0
0.0,tire cri,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,ohno what bansal,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,chicken sarni make sick oh ill get heinz big soup later,0.404,0.596,0.0,-0.7269,1.0,0.0,1.0,1.0,1.0
0.0,stuff face noth fruit morn diet sever thwart fact fruit,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.0,starbuck need coffe school,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0.0,background cafe bookshop didsburi one effect colour sort realis 6 orang penguin,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,oh snap bar store arent open statutori holiday stupid retard law,0.531,0.469,0.0,-0.8425,1.0,0.0,0.0,1.0,0.0
0.0,got deni sexual contact disney movi rock none pleas,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.0,feel realli ill,0.583,0.417,0.0,-0.4215,1.0,0.0,3.0,1.0,1.0
0.0,hey ive finish homework b tire,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,would go read moon women would fall asleep late work work,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,mcprusa live alway heart goodby puerto rico,0.0,0.588,0.412,0.6369,1.0,0.0,1.0,1.0,1.0
0.0,sad anim unhappi dog master reproachfulyourebreakingmyheart puppi look,0.307,0.693,0.0,-0.4767,1.0,0.0,0.0,1.0,0.0
0.0,instal much talk tweetdeck hubbi geek stuff hous littl bemus,0.167,0.833,0.0,-0.2023,1.0,0.0,1.0,0.0,0.0
0.0,sit home wish would call,0.0,0.597,0.403,0.4019,1.0,0.0,2.0,1.0,1.0
0.0,hdd dvd die pick new topfield tf71000hdpvrt wife permiss cours,0.302,0.698,0.0,-0.5994,1.0,0.0,2.0,1.0,1.0
0.0,ergh feel like crapim sorri,0.0,0.615,0.385,0.3612,1.0,0.0,0.0,1.0,0.0
0.0,darn miss twitter man anywher onlin could watch phil deal,0.151,0.849,0.0,-0.1531,1.0,0.0,1.0,1.0,0.0
0.0,aw suck,0.744,0.256,0.0,-0.4404,2.0,0.0,0.0,1.0,1.0
0.0,halfway thousand splendid sun alreadi think brilliant sad,0.197,0.318,0.484,0.6705,2.0,0.0,1.0,1.0,0.0
0.0,smart start 24 chip tooth,0.0,0.597,0.403,0.4019,1.0,0.0,2.0,0.0,0.0
0.0,last night suckedth tiger loss msu lost atleast red wing,0.365,0.635,0.0,-0.5574,2.0,0.0,1.0,1.0,0.0
0.0,thank dear two tremor today im ok poor peopl laquila realli difficulti,0.168,0.435,0.397,0.4939,1.0,0.0,1.0,1.0,0.0
0.0,new spend plan look practic intellig irregular warfar terror still job lost,0.363,0.637,0.0,-0.6908,1.0,0.0,2.0,0.0,0.0
0.0,that happen twilight happen new moon,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.0,train day 2 2 go coffe today,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0.0,wish could see eddi never davenport,0.0,0.649,0.351,0.4019,1.0,0.0,0.0,0.0,0.0
0.0,oh expens report time 4 cm receipt,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,ye tweet back lot wonder dont respond delet facebook account,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.0,caus lot troubl end,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0.0,brrrr head work chilli today,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.0,happi birthday sorri work today,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,random thought pt 3 3 im onto season 3 l word dont want watch season favorit charact die,0.222,0.649,0.13,-0.2783,1.0,0.0,0.0,1.0,0.0
0.0,1 6 previou friend colleagu rb go lose job stm,0.194,0.576,0.23,0.128,1.0,0.0,1.0,0.0,0.0
0.0,god damnthes hurt rib serious cramp exercis style,0.516,0.317,0.167,-0.5267,1.0,0.0,1.0,1.0,0.0
0.0,isnt dig fact 78 degre less 48 hour ago 29 windi,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,last qs announc he head left,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,wonder snow springtim chillin insid 2 day,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0.0,disappoint hous season go sigh use great show,0.209,0.388,0.403,0.3612,1.0,0.0,0.0,0.0,0.0
0.0,doesnt wanna uni work today,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.0,head bed realiz tafe design defult helvetica arriiv font,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.0,awesom time floridabut last day,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,correct lawyer need go plain english lesson,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
0.0,mean your leav isp,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,cant go back sleep buddi spot soon,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,uhhhhh spring arriv week two ago left heh,0.186,0.814,0.0,-0.1531,1.0,1.0,2.0,1.0,0.0
0.0,howd guess she deaf actual she orf tclinic soon lost high frequenc tinniti forev,0.15,0.85,0.0,-0.3182,2.0,0.0,2.0,1.0,0.0
0.0,lol gladli made lot cant bring school,0.0,0.682,0.318,0.4215,1.0,0.0,0.0,0.0,0.0
0.0,earli studi,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.0,hate first one last one way,0.425,0.575,0.0,-0.5719,1.0,0.0,0.0,0.0,0.0
0.0,ty 4 suggest cant around cook food im allerg pork product smell make sick,0.184,0.67,0.145,-0.1779,1.0,0.0,0.0,0.0,0.0
0.0,val dor wait wife youngest flight leav long drive chisasibi,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0.0,yey sox game today didnt class till 420,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.0,research report due five librari tri get finish,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0
0.0,lol throw rang doesnt extend 1000 mile,0.163,0.537,0.3,0.3142,2.0,0.0,2.0,2.0,1.0
0.0,itch gambl,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0.0,wait hear back peopl email head work transcrib fun,0.0,0.708,0.292,0.5106,1.0,0.0,0.0,1.0,0.0
0.0,trophi whore sad ulti,0.787,0.213,0.0,-0.8126,1.0,0.0,1.0,1.0,1.0
0.0,good luck meghan test suuuck,0.0,0.337,0.663,0.7096,1.0,0.0,2.0,2.0,0.0
0.0,realli ill,0.737,0.263,0.0,-0.4215,1.0,0.0,0.0,1.0,0.0
0.0,look like,0.0,0.286,0.714,0.3612,1.0,0.0,2.0,1.0,0.0
0.0,wake say goodby never happi start,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
0.0,present perfect subjunct,0.0,0.351,0.649,0.5719,1.0,0.0,0.0,1.0,0.0
0.0,mean dri stuff tbh eat littl soft stuff give dentabit got teeth like daddi prob,0.0,0.848,0.152,0.3612,1.0,0.0,2.0,1.0,1.0
0.0,ill miss night love much,0.415,0.189,0.396,0.2023,1.0,0.0,0.0,1.0,1.0
0.0,mac break two week warranti expir,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0
0.0,new madnessand sick librari,0.524,0.476,0.0,-0.5106,1.0,0.0,2.0,0.0,1.0
0.0,bum work good friday,0.0,0.508,0.492,0.4404,1.0,0.0,0.0,1.0,0.0
0.0,yeah got way hubbi garag etc,0.0,0.694,0.306,0.296,1.0,0.0,0.0,1.0,0.0
0.0,yummi lunch dr team sergio shame leav,0.341,0.659,0.0,-0.4767,1.0,0.0,0.0,0.0,0.0
0.0,think chri erin famili today say goodby belov dad newli made grandpa,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
0.0,thank budget feed tip follow disast happen,0.0,0.706,0.294,0.3612,1.0,0.0,0.0,0.0,0.0
0.0,regan aliv australia dedic,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,hate peopl say rocki 5 horribl that favorit rocki film street fight,0.387,0.613,0.0,-0.743,1.0,0.0,2.0,1.0,0.0
0.0,appoint barkley 315 serious need dog cancer anyth that expens cant let die,0.302,0.531,0.167,-0.3724,1.0,0.0,2.0,1.0,0.0
0.0,go anoth busi day work,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,hope happi love life make cri,0.0,0.36,0.64,0.7964,1.0,0.0,1.0,1.0,0.0
0.0,manag preorder jeniferevercost ï¿½45 new album old album vinyl broke well,0.201,0.647,0.151,-0.1779,1.0,0.0,0.0,0.0,1.0
0.0,good morn im alreadi work time go,0.0,0.674,0.326,0.4404,2.0,0.0,2.0,1.0,0.0
